"Id","Date","After","Before","Ancient","Modern","Material","Object Type","Inscription Type","Execution Type","Language","Museum","Status","Trismegistos","EDR","PHI","EDCS"
"ISic000001","between later 1st and 3rd century CE","0050","0300","","Caltanissetta","marble","plaque","funerary","chiselled","Latin","Museo Archeologico Regionale Antonino Salinas","draft","491696","","","21900531"
"ISic000002","3rd century CE","0201","0300","Catina","Catania","marble","plaque","funerary","chiselled","Latin","Museo Archeologico Regionale Antonino Salinas","draft","491568","141180","","21900397"
"ISic000003","Bivona 2nd — 3rd century CE Manganaro on the basis of the Dis Man formula and the name, 1st century CE Ferrua 2nd century CE","0101 0001 0101","0300 0100 0200","Catina","Catania","marble","plaque ","funerary","chiselled","Latin","Museo Archeologico Regionale Antonino Salinas","draft","491590","141191","","21900419"
"ISic000004","100—150 CE","0100","0150","Centuripae","Centuripe","marble","plaque","building","chiselled","Latin","Museo Archeologico Regionale Antonino Salinas","draft","491500","","","21900323"
"ISic000005","Imperial","0001","0300","Centuripae","Centuripe","marble","","funerary","chiselled","Latin","Museo Archeologico Regionale Antonino Salinas","draft","491502","","","21900325"
"ISic000006","1st — 2nd century CE","0001","0200","Cossura","Pantelleria","marble","plaque","funerary","chiselled","Latin","Museo Archeologico Regionale Antonino Salinas","draft","491874","","","22100631"
"ISic000007","39—36 BCE","-0039","-0036","Lilybaeum","Marsala","limestone","plaque","building","chiselled","Latin","Museo archeologico regionale Lilibeo Marsala - Baglio Anselmi","draft","175824","071633","","14700098"
"ISic000008","Imperial","0001","0300","Lipara","Lipari","volcanic (pietra lavica locale)","stele","funerary","chiselled","Latin","Museo Archeologico Regionale Antonino Salinas","draft","175715","076311","334888","9400437"
"ISic000009","Neronian","0050","0100","Panhormus","Palermo","limestone","","dedication","chiselled","Latin","Museo Archeologico
                            Regionale Antonino Salinas","draft","491768","137592","","22000852"
"ISic000010","1st century CE","0001","0100","Panhormus","Palermo","limestone","","dedication","chiselled","Latin","Museo Archeologico
                            Regionale Antonino Salinas","draft","491770","137593","","22000854"
"ISic000011","10th December 162—9th December 163 CE","0162-12-10","0163-12-09","Panhormus","Palermo","limestone","","honorific","chiselled","Latin","Museo Archeologico
                            Regionale Antonino Salinas","draft","491772","137644","","22000856"
"ISic000012","195—211 CE (after
                                Raepsaet-Charlier)","0200","0250","Panhormus","Palermo","limestone
                                    ","base","honorific","chiselled","Latin","Museo Archeologico
                            Regionale Antonino Salinas","draft","491773","137645","","22000857"
"ISic000013","Summer 195 CE","","","Panhormus","Palermo","limestone","base","honorific","chiselled","Latin","Museo Archeologico
                            Regionale Antonino Salinas","draft","491774","137649","","22000858"
"ISic000014","195—211 CE
                                (Raepsaet-Charlier, Latomus 33 (1974), 125 rejects the narrow date of Bivona)","0200","0250","Panhormus","Palermo","limestone","","dedication","chiselled","Latin","Museo Archeologico
                            Regionale Antonino Salinas","draft","175727","074901","","9701489"
"ISic000015","196—197 CE (so R-C, contra
                                Biv, one yr earlier)","0150","0200","Panhormus","Palermo","limestone","base","honorific","chiselled","Latin","Museo Archeologico Regionale Antonino Salinas","draft","491775","138097","","22000859"
