hdr1,phi_id
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190454
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190455
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190457
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190458
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190459
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190460
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190461
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190462
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190463
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190464
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190465
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190466
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190467
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190468
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190469
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190470
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190471
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190472
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190473
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190474
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190475
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190476
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190477
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190478
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190479
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190480
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190481
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190482
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190483
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190484
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190485
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190486
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190487
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190488
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190489
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190490
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190491
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190492
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190493
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190494
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190495
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190496
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190497
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190498
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190499
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190500
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190501
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190502
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186278
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190503
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190504
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190505
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190506
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190507
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190508
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190509
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190510
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190511
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190512
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190514
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190515
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190516
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190517
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190518
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190519
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190520
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190521
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190522
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190523
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190524
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190525
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190526
